,Q_CCGT
1635,38.36683369
1636,38.183809
1637,38
1638,37.81940271
1639,37.65124907
1640,37.50378514
1641,37.38096536
1642,37.2358742
1643,37.06763401
1644,36.80600235
1645,36.41201674
1646,35.95209765
1647,35.49253645
1648,35.09426914
1649,34.78320462
1650,34.55865272
1651,34.40032179
1652,34.28276941
1653,34.18417591
1654,34.09143352
1655,34
1656,33.91130656
1657,33.82921735
1658,33.75724525
1659,33.69705011
1660,33.55892396
1661,33.34705558
1662,32.93333067
1663,32.24940979
1664,31.42863226
1665,30.60176029
1666,29.88743345
1667,29.33564682
1668,28.94480563
1669,28.67571168
1670,28.47963734
1671,28.31518964
1672,28.15794977
1673,28
1674,27.84479472
1675,27.70028359
1676,27.57356137
1677,27.46802749
1678,27.3836213
1679,27.31686187
1680,27.26405209
1681,27.2215246
1682,27.18554394
1683,27.15374425
1684,27.12486717
1685,27.0986276
1686,27.07516531
1687,27.05469045
1688,27.03722734
